Title,Description,Type,Language,License,Data Status,Hosted/Linked,Update Frequency,Landing Page,Date Published,Date Updated,Contact Point,Data Granularity,Temporal Coverage From,Temporal Coverage To,Spatial Coverage,Jurisdiction,Data Portal,Publisher/Agency,Keywords,Groups
19th Century Photographs by Captain Samuel Sweet,"These photographs (approximately 920) were taken by Captain Samuel Sweet, sea captain and photographer of colonial South Australia. Sweet began working as a photographer in Adelaide in 1867. In 1875 he retired from the sea and established his own photographic studio in Adelaide. He took photographs around South Australia, developing them in a horse-drawn darkroom. Sweet is known as the colony's foremost landscape photographer of the 1870s. ",dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/28baf505-4c5f-4e45-9fae-2605ee1cf7c1,2014-06-10T13:51:09.849031,2017-07-06T05:56:14.541999,DataSA@sa.gov.au,N/A,1865-01-01,1902-12-31,South Australia,Government of South Australia,data.sa.gov.au,State Library of South Australia,"adelaide, events, geographical, history, localities, people, photographers, port adelaide, portraits, state library of south australia",arts-culture-history
19th Century Photographs by Ernest Gall,"The photographs (approximately 660) were taken by Ernest Gall, a South Australian born photographer active from the 1880s to the 1920s. In 1899 he was described as a distinctly modern professional photographer. Gall is noted for his photographs of civic events, portraits and photographs showing Adelaides development into a growing modern city.",dataset,English,Creative Commons Attribution,active,Hosted,asRequired,/data/dataset/54c50844-6653-4704-8dc8-5f5c8f5f14eb,2014-06-10T13:32:58.334603,2017-07-06T06:11:06.592081,DataSA@sa.gov.au,N/A,1850-01-01,1920-12-31,South Australia,Government of South Australia,data.sa.gov.au,State Library of South Australia,"adelaide, events, geographical, history, localities, people, photographers, photographs, portraits, state library of south australia",arts-culture-history
19th Century Photographs by Townsend Duryea,"The photographs (approximately 165) were taken by Townsend Duryea, a noted photographer of colonial South Australia. Duryea was active in South Australia 1855-1875. He and his brother were the first known photographers to work in areas of South Australia outside Adelaide. Duryea is particularly known for his panoramas of Adelaide and portraits of surviving original European colonists of South Australia.",dataset,English,Creative Commons Attribution,active,Linked,asRequired,/data/dataset/97f60b3e-9b50-4cc2-9960-73288d076c51,2014-06-10T12:57:32.375370,2019-08-29T04:40:29.655895,DataSA@sa.gov.au,N/A,1856-01-01,1887-12-31,South Australia,Government of South Australia,data.sa.gov.au,State Library of South Australia,"adelaide, events, geographical, history, localities, people, photographs, portraits, state library of south australia",arts-culture-history
2016-2017 Annual Report Regulatory Data,2016-2017 Annual Report Regulatory Data,dataset,English,Creative Commons Attribution,active,Hosted,annually,/data/dataset/f0a5b81e-aa02-421e-9f86-40bec4a23880,2017-10-23T23:16:24.846152,2017-10-23T23:17:22.012115,contact@jamfactory.com.au,,2016-07-01,2017-06-30,South Australia,Government of South Australia,data.sa.gov.au,JamFactory Contemporary Craft and Design Inc,Annual report data,arts-culture-history
2017 Annual Report data,2017 Annual Report data published by the SACE Board of South Australia.,dataset,English,License Not Specified,active,Hosted,never,/data/dataset/01805b7b-59c1-4937-88f7-4b7893465eb4,2018-06-07T04:06:05.368684,2019-04-24T02:21:27.832780,SACE.Info@sa.gov.au,,2017-01-01,2017-12-31,South Australia,Government of South Australia,data.sa.gov.au,SACE Board of South Australia,"annual report, Annual report data",education-skills-and-learning
2018 Annual Report data,2018 Annual Report data published by the SACE Board of South Australia.,dataset,English,Creative Commons Attribution,active,Hosted,never,/data/dataset/ce6ea53d-2336-4941-acc8-6db5bbb284bd,2019-04-24T02:20:05.768714,2019-04-24T02:21:45.266811,askSACE@sa.gov.au,,2018-01-01,2019-12-31,South Australia,Government of South Australia,data.sa.gov.au,SACE Board of South Australia,"annual report, Annual report data, education",government-reporting-and-policy
2019 Annual Report data,2019 Annual Report data published by the SACE Board of South Australia.,dataset,English,Creative Commons Attribution,active,Linked,never,/data/dataset/e8ca9bfa-1d93-4898-886d-2d949e7526a4,2020-05-19T02:34:15.011854,2020-05-19T02:35:13.198294,SACE.Info@sa.gov.au,,2019-01-01,2019-12-31,South Australia,Government of South Australia,data.sa.gov.au,SACE Board of South Australia,"annual report, Annual report data, education",education-skills-and-learning
3D Model of the City of Adelaide,"3D Model of the city of Adelaide. The link contains a list of a large number of sub-folders and files. At the bottom of the list are the help files, block map and metadata. Some blocks have had their original origins reset, please refer to the 'How to fix broken origins' spreadsheet. *TIP for Sketch Up only* - bring the models in & attach them to the origin, set the scale to 39.625 (inches in 1 metre). Scale for all other software is 1:100. For quicker performance in the textured version, go to View Menu, Face Style and select 'shaded'.",dataset,English,Creative Commons Attribution,active,Linked,never,/data/dataset/335b887e-58ad-42e0-902e-7ebf05515b87,2015-06-10T02:09:58.801909,2016-07-29T04:53:55.016301,city@adelaidecitycouncil.com,,N/A,,Adelaide & North Adelaide,Local Government,data.sa.gov.au,City of Adelaide,"3d, 3d model, buildings, city, map",
Aboriginal and/or Torres Strait Islander students by school type in SA Government Schools,"Full-time equivalent enrolments of Aboriginal and/or Torres Strait Islander students from 2012 by type of school collected as part of the annual enrolment data collection in Term 3.

Aboriginal and/or Torres Strait Islander (ATSI) students  are students who have identified to be of Aboriginal and/or Torres Strait Islander origin. 

The term origin is considered to relate to peoples Aboriginal and/or Torres Strait Islander descent and for some, but not all, their cultural identify. 
",dataset,English,Creative Commons Attribution,active,Linked,annually,/data/dataset/f32d980f-92c2-459b-b149-7b4691ab7188,2018-05-11T03:45:54.233823,2020-06-30T03:27:55.822423,Education.DataReportingAnalytics@sa.gov.au ,Aggregated by school type,2012-08-01,2019-08-01,South Australia,Government of South Australia,data.sa.gov.au,Department for Education,"aboriginal, ATSI, education, government, schools, students, Torres Strait Islander",education-skills-and-learning
Aboriginal and Torres Strait Islander and Disability Employment,"Government Services Group (GSG) Workforce Report:  PS Act Employees in GSG Aboriginal and Torres Strait Islander (ATSI) and Disability Employment as at December 2014.

GSG previous business unit of the Department of Premier and Cabinet.",dataset,English,Creative Commons Attribution,active,Hosted,quarterly,/data/dataset/ed23bd1b-f7e7-4316-bac2-b9ac58538640,2015-06-12T06:49:21.517583,2015-06-12T06:51:11.556392,datasa@sa.gov.au,,2014-09-01,2014-12-31,South Australia,Government of South Australia,data.sa.gov.au,Department of the Premier and Cabinet,"Aboriginal, ATSI, Disability, indigenous, Torres, Torres Strait",government-reporting-and-policy
